Son buenas;1
Es buena.;1
Es terrible.;0
Es mala.;0
Son buenas.;1
Son malas;0
Es muy entendible.;1
Es aburrida.;0
Es muy mala.;0
Es buena y entendible.;1
Es nefasta.;0
Son malas.;0
Son aburridas;0
Muy buena;1
Excelente, me cubre todos los vacíos d ella clase;1
Mala, porque no proyecta código;0
No he asistido a ninguna v:;0
Falta más tiempo 1 hora pasa muy rápido;0
Muy bueno porque podemos asistir a varios dias;1
Da gran apertura a dudas;1
Buenas aunque me choca los horarios;0
Siempre asisto;1
Tiene mucha paciencia;1
Poco tiempo;0
Fugaz;1
No asisto;0
Muy buenas a diferencia de otros docentes;1
Obligatorias;0
Me da miedo preguntar;0
Bien;1
No he recibido aún;0
Me chocan los horarios;0
Es súper buenas;1
Me gustaría que grabe sus clases;1
Si asisto es muy buena;1
Excelentes;1
Me aburre :c;0
Buenas ya que llenan vacíos;1
Excelentes puedo escoger varios horarios;1
No tengo tiempo;0
Es excelente.;1
Es muy nefasta.;0
Es excelente la forma en que imparte la materia.;1
Es muy desordenada y desagradable.;1
Es buena y precisa.;1
Es muy preciso y explicativo.;1
Es totalmente terrible.;1
Es agradable la forma en que explica las cosas.;1
Es grandiosa.;1
Es buena y explicativa.;1
Es totalmente concisa.;1
Es muy aburrida.;0
Va un poco rápido;0
Es pesima y desagradable.;0
Es extraordinario.;1
El int le va un poco lento;0
Es pesima.;1
Es muy pésima.;0
Es buena y agradable.;1
Muy claro y conciso;1
Es buena .;1
Un poco corta pero buena;1
Es entendible .;1
Son demasiadas aburridas.;0
Son buenas,;1
Son aburridas .;0
Son desagradables.;0
Son muy buenas.;1
Se conecta a tiempo;1
Nos explica muy bien;1
Son aburridas.;0
Son muy malas.;0
Son buenas y explicativas.;1
Muy buenas y a tiempo;1
Si tenemos dudas sabe como ayudarnos;1
Son excelentes explicaciones.;1
Son buenas y practicas.;1
Un poco confusa;0
Son concisas.;1
Sali mas confundido;0
Me confundiio mas;0
Ya mejor llevame Diosito;0
No es concreto en su forma de ensenar;0
Acaba muy rapido la tutoria;0
Soy buenas las clases;1
No empieza puntual la tutoria;0
Son buenas las clases;1
No son entendibles;0
Las tutorías duran muy poco;0
Una hora no alcanza;0
Las clases son claras;1
No se;0
Son pesimas;0
Son full malas;0
Son aburridas;0
no explica;0
En las clases hace mucha bulla;0
no se escucha;0
no tengo tiempo;0
No asiste puntual;0
Trabajo en las tardes;0
Son excelentes explicaciones.;1
muy puntual;1
no se escucha;0
no entiendo;0
me gusta asistir;1
nunca asisto;0
los horarios son aceptables;1
una buena explicacion;1
me voy a retirar;0
